Alpha,AUC,MRR,NDCG@5,NDCG@10,Recall@5,Recall@10
0.0,0.7810810810810811,1.0,0.3391602052736161,0.4371994911049732,0.2,0.4
0.0,0.8555555555555556,1.0,0.6843515475204855,0.7864489426433972,0.6,0.8
0.0,0.4157196969696969,1.0,0.3391602052736161,0.2200917662980801,0.0909090909090909,0.0909090909090909
0.0,0.6705685618729097,1.0,0.4852285551163225,0.3148801306676309,0.1538461538461538,0.1538461538461538
0.0,0.4333333333333333,0.3333333333333333,0.3065735963827292,0.3065735963827292,0.5,0.5
0.0,0.559322033898305,0.0555555555555555,0.0,0.0,0.0,0.0
0.0,0.3518518518518518,0.0769230769230769,0.0,0.0,0.0,0.0
0.0,0.5795454545454546,0.3333333333333333,0.3065735963827292,0.3065735963827292,0.5,0.5
0.0,0.725,1.0,0.5585075862632192,0.6886342695939197,0.5,0.75
0.0,0.1571428571428571,0.0175438596491228,0.0,0.0,0.0,0.0
0.0,0.5623123123123124,0.2,0.1312050775123417,0.1170625931379635,0.1666666666666666,0.1666666666666666
0.0,0.515625,0.1666666666666666,0.0,0.2184074368181641,0.0,0.5
0.0,0.923076923076923,0.3333333333333333,0.5,0.5,1.0,1.0
0.0,0.7377049180327869,0.1428571428571428,0.0,0.2043823975884861,0.0,0.5
0.0,0.5072859744990892,0.1111111111111111,0.0,0.0707557607210806,0.0,0.1111111111111111
0.0,0.5379999999999999,0.1666666666666666,0.0,0.1208113026994942,0.0,0.2
0.0,0.5630630630630631,0.0833333333333333,0.0,0.0,0.0,0.0
0.0,0.1538461538461538,0.0833333333333333,0.0,0.0,0.0,0.0
0.0,0.52,0.0769230769230769,0.0,0.0,0.0,0.0
0.0,0.3421052631578947,0.0333333333333333,0.0,0.0,0.0,0.0
0.0,0.5483870967741935,0.1666666666666666,0.0,0.1671604549662022,0.0,0.3333333333333333
0.0,0.1470588235294117,0.0769230769230769,0.0,0.0,0.0,0.0
0.0,0.7901234567901235,0.0476190476190476,0.0,0.0,0.0,0.0
0.0,0.5570987654320988,0.5,0.2139862647345275,0.1909208661789346,0.1666666666666666,0.1666666666666666
0.0,0.8705357142857143,0.25,0.2640681225725909,0.2640681225725909,0.5,0.5
0.0,0.6956521739130435,0.125,0.0,0.3154648767857287,0.0,1.0
0.0,0.25,0.0625,0.0,0.0,0.0,0.0
0.0,0.4166666666666667,0.0909090909090909,0.0,0.0,0.0,0.0
0.0,0.4068965517241379,0.1111111111111111,0.0,0.1020973951229116,0.0,0.2
0.0,0.3049180327868852,0.0909090909090909,0.0,0.0,0.0,0.0
0.0,0.7045454545454545,1.0,0.6131471927654584,0.6131471927654584,0.5,0.5
0.0,0.7257900101936798,0.2,0.1312050775123417,0.1588714315372695,0.1111111111111111,0.2222222222222222
0.0,0.75,1.0,1.0,1.0,1.0,1.0
0.0,0.6666666666666666,1.0,0.3903800499921017,0.3903800499921017,0.25,0.25
0.0,0.734375,0.1666666666666666,0.0,0.2184074368181641,0.0,0.5
0.0,0.5808823529411765,0.125,0.0,0.1934264036172708,0.0,0.5
0.0,0.0,0.3333333333333333,0.5,0.5,1.0,1.0
0.0,0.6333333333333334,0.1428571428571428,0.0,0.2920782154400332,0.0,0.6666666666666666
0.0,0.2272727272727273,0.1428571428571428,0.0,0.3333333333333333,0.0,1.0
0.0,0.5892857142857143,1.0,0.5531464700081437,0.4935232796777481,0.3333333333333333,0.3333333333333333
0.0,0.6521739130434783,0.1111111111111111,0.0,0.3010299956639812,0.0,1.0
0.0,0.574468085106383,0.5,0.2960819109658652,0.2960819109658652,0.3333333333333333,0.3333333333333333
0.0,0.625,0.1666666666666666,0.0,0.2184074368181641,0.0,0.5
0.0,0.2,0.0666666666666666,0.0,0.0,0.0,0.0
0.0,0.3068965517241379,0.010752688172043,0.0,0.0,0.0,0.0
0.0,0.6515151515151516,1.0,0.6131471927654584,0.6131471927654584,0.5,0.5
0.0,0.4318181818181819,1.0,0.3903800499921017,0.3903800499921017,0.25,0.25
0.0,0.6649305555555556,0.5,0.2139862647345275,0.2320221445693425,0.1111111111111111,0.2222222222222222
0.0,0.3679245283018868,0.0208333333333333,0.0,0.0,0.0,0.0
0.0,0.3545454545454545,0.0294117647058823,0.0,0.0,0.0,0.0
0.0,0.6,0.5,0.2960819109658652,0.2960819109658652,0.3333333333333333,0.3333333333333333
0.0,0.5384615384615384,1.0,0.5413996682199069,0.6542448095688422,0.5,0.75
0.0,0.6020408163265306,0.125,0.0,0.1480409554829326,0.0,0.3333333333333333
0.0,0.5451895043731778,1.0,0.3391602052736161,0.2748763329142908,0.1428571428571428,0.1428571428571428
0.0,0.48,0.0555555555555555,0.0,0.0,0.0,0.0
0.0,0.5487804878048781,0.1666666666666666,0.0,0.2184074368181641,0.0,0.5
0.0,0.5277777777777778,0.25,0.2640681225725909,0.2640681225725909,0.5,0.5
